Original Title,Authors,cleaned_title
GroupNL: Low-Resource and Robust CNN Design over Cloud and Device,"Chuntao Ding,Jianhang Xie,Junna Zhang,Salman Raza,Shangguang Wang,Jiannong Cao",groupnl lowresource robust cnn design cloud device
IndoorWorld: Integrating Physical Task Solving and Social Simulation in A Heterogeneous Multi-Agent Environment,"Dekun Wu,Frederik Brudy,Bang Liu,Yi Wang",indoorworld integrating physical task solving social simulation heterogeneous multiagent environment
Intersectional Bias in Japanese Large Language Models from a Contextualized Perspective,"Hitomi Yanaka,Xinqi He,Jie Lu,Namgi Han,Sunjin Oh,Ryoma Kumon,Yuma Matsuoka,Katsuhiko Watabe,Yuko Itatsu",intersectional bias japanese large language model contextualized perspective
Three-dimensional Deep Shape Optimization with a Limited Dataset,"Yongmin Kwon,Namwoo Kang",threedimensional deep shape optimization limited dataset
Machine Learning Methods for Small Data and Upstream Bioprocessing Applications: A Comprehensive Review,"Johnny Peng,Thanh Tung Khuat,Katarzyna Musial,Bogdan Gabrys",machine learning method small data upstream bioprocessing application comprehensive review
Extending Memorization Dynamics in Pythia Models from Instance-Level Insights,"Jie Zhang,Qinghua Zhao,Lei Li,Chi-ho Lin",extending memorization dynamic pythia model instancelevel insight
The Foundation Cracks: A Comprehensive Study on Bugs and Testing Practices in LLM Libraries,"Weipeng Jiang,Xiaoyu Zhang,Xiaofei Xie,Jiongchi Yu,Yuhan Zhi,Shiqing Ma,Chao Shen",foundation crack comprehensive study bug testing practice llm library
Med-U1: Incentivizing Unified Medical Reasoning in LLMs via Large-scale Reinforcement Learning,"Xiaotian Zhang,Yuan Wang,Zhaopeng Feng,Ruizhe Chen,Zhijie Zhou,Yan Zhang,Hongxia Xu,Jian Wu,Zuozhu Liu",medu incentivizing unified medical reasoning llm via largescale reinforcement learning
Unveiling Confirmation Bias in Chain-of-Thought Reasoning,"Yue Wan,Xiaowei Jia,Xiang Lorraine Li",unveiling confirmation bias chainofthought reasoning
QGuard:Question-based Zero-shot Guard for Multi-modal LLM Safety,"Taegyeong Lee,Jeonghwa Yoo,Hyoungseo Cho,Soo Yong Kim,Yunho Maeng",qguardquestionbased zeroshot guard multimodal llm safety
CMI-Bench: A Comprehensive Benchmark for Evaluating Music Instruction Following,"Yinghao Ma,Siyou Li,Juntao Yu,Emmanouil Benetos,Akira Maezawa",cmibench comprehensive benchmark evaluating music instruction following
The Behavior Gap: Evaluating Zero-shot LLM Agents in Complex Task-Oriented Dialogs,"Avinash Baidya,Kamalika Das,Xiang Gao",behavior gap evaluating zeroshot llm agent complex taskoriented dialog
A Survey of Foundation Models for IoT: Taxonomy and Criteria-Based Analysis,"Hui Wei,Dong Yoon Lee,Shubham Rohal,Zhizhang Hu,Shiwei Fang,Shijia Pan",survey foundation model iot taxonomy criteriabased analysis
ProVox: Personalization and Proactive Planning for Situated Human-Robot Collaboration,"Jennifer Grannen,Siddharth Karamcheti,Blake Wulfe,Dorsa Sadigh",provox personalization proactive planning situated humanrobot collaboration
"Large Language Models for History, Philosophy, and Sociology of Science: Interpretive Uses, Methodological Challenges, and Critical Perspectives","Arno Simons,Michael Zichert,Adrian Wüthrich",large language model history philosophy sociology science interpretive us methodological challenge critical perspective
Mind the XAI Gap: A Human-Centered LLM Framework for Democratizing Explainable AI,"Eva Paraschou,Ioannis Arapakis,Sofia Yfantidou,Sebastian Macaluso,Athena Vakali",mind xai gap humancentered llm framework democratizing explainable
Datrics Text2SQL: A Framework for Natural Language to SQL Query Generation,"Tetiana Gladkykh,Kyrylo Kirykov",datrics textsql framework natural language sql query generation
Uncovering Bias Paths with LLM-guided Causal Discovery: An Active Learning and Dynamic Scoring Approach,"Khadija Zanna,Akane Sano",uncovering bias path llmguided causal discovery active learning dynamic scoring approach
Mapping Neural Theories of Consciousness onto the Common Model of Cognition,"Paul S. Rosenbloom,John E. Laird,Christian Lebiere,Andrea Stocco",mapping neural theory consciousness onto common model cognition
SSLAM: Enhancing Self-Supervised Models with Audio Mixtures for Polyphonic Soundscapes,"Tony Alex,Sara Ahmed,Armin Mustafa,Muhammad Awais,Philip JB Jackson",sslam enhancing selfsupervised model audio mixture polyphonic soundscapes
Two heads are better than one: simulating large transformers with small ones,"Hantao Yu,Josh Alman",two head better one simulating large transformer small one
From Emergence to Control: Probing and Modulating Self-Reflection in Language Models,"Xudong Zhu,Jiachen Jiang,Mohammad Mahdi Khalili,Zhihui Zhu",emergence control probing modulating selfreflection language model
Semantic Scheduling for LLM Inference,"Wenyue Hua,Dujian Ding,Yile Gu,Yujie Ren,Kai Mei,Minghua Ma,William Yang Wang",semantic scheduling llm inference
"A Fast, Reliable, and Secure Programming Language for LLM Agents with Code Actions","Stephen Mell,Botong Zhang,David Mell,Shuo Li,Ramya Ramalingam,Nathan Yu,Steve Zdancewic,Osbert Bastani",fast reliable secure programming language llm agent code action
ViSAGe: Video-to-Spatial Audio Generation,"Jaeyeon Kim,Heeseung Yun,Gunhee Kim",visage videotospatial audio generation
BreastDCEDL: Curating a Comprehensive DCE-MRI Dataset and developing a Transformer Implementation for Breast Cancer Treatment Response Prediction,"Naomi Fridman,Bubby Solway,Tomer Fridman,Itamar Barnea,Anat Goldshtein",breastdcedl curating comprehensive dcemri dataset developing transformer implementation breast cancer treatment response prediction
Supernova Event Dataset: Interpreting Large Language Model's Personality through Critical Event Analysis,"Pranav Agarwal,Ioana Ciucă",supernova event dataset interpreting large language model personality critical event analysis
MRI-CORE: A Foundation Model for Magnetic Resonance Imaging,"Haoyu Dong,Yuwen Chen,Hanxue Gu,Nicholas Konz,Yaqian Chen,Qihang Li,Maciej A. Mazurowski",mricore foundation model magnetic resonance imaging
TCN-DPD: Parameter-Efficient Temporal Convolutional Networks for Wideband Digital Predistortion,"Huanqiang Duan,Manno Versluis,Qinyu Chen,Leo C. N. de Vreede,Chang Gao",tcndpd parameterefficient temporal convolutional network wideband digital predistortion
Explaining Recovery Trajectories of Older Adults Post Lower-Limb Fracture Using Modality-wise Multiview Clustering and Large Language Models,"Shehroz S. Khan,Ali Abedi,Charlene H. Chu",explaining recovery trajectory older adult post lowerlimb fracture using modalitywise multiview clustering large language model
Can Mixture-of-Experts Surpass Dense LLMs Under Strictly Equal Resources?,"Houyi Li,Ka Man Lo,Ziqi Wang,Zili Wang,Wenzhen Zheng,Shuigeng Zhou,Xiangyu Zhang,Daxin Jiang",mixtureofexperts surpass dense llm strictly equal resource
Scale-Invariance Drives Convergence in AI and Brain Representations,"Junjie Yu,Wenxiao Ma,Jianyu Zhang,Haotian Deng,Zihan Deng,Yi Guo,Quanying Liu",scaleinvariance drive convergence brain representation
Unsupervised Document and Template Clustering using Multimodal Embeddings,"Phillipe R. Sampaio,Helene Maxcici",unsupervised document template clustering using multimodal embeddings
Eliciting Reasoning in Language Models with Cognitive Tools,"Brown Ebouky,Andrea Bartezzaghi,Mattia Rigotti",eliciting reasoning language model cognitive tool
Semantic Preprocessing for LLM-based Malware Analysis,"Benjamin Marais,Tony Quertier,Grégoire Barrue",semantic preprocessing llmbased malware analysis
Quantum-Inspired Differentiable Integral Neural Networks (QIDINNs): A Feynman-Based Architecture for Continuous Learning Over Streaming Data,Oscar Boullosa Dapena,quantuminspired differentiable integral neural network qidinns feynmanbased architecture continuous learning streaming data
EconGym: A Scalable AI Testbed with Diverse Economic Tasks,"Qirui Mi,Qipeng Yang,Zijun Fan,Wentian Fan,Heyang Ma,Chengdong Ma,Siyu Xia,Bo An,Jun Wang,Haifeng Zhang",econgym scalable testbed diverse economic task
Personalized LLM Decoding via Contrasting Personal Preference,"Hyungjune Bu,Chanjoo Jung,Minjae Kang,Jaehyung Kim",personalized llm decoding via contrasting personal preference
A Lightweight IDS for Early APT Detection Using a Novel Feature Selection Method,"Bassam Noori Shaker,Bahaa Al-Musawi,Mohammed Falih Hassan",lightweight id early apt detection using novel feature selection method
DRIFT: Dynamic Rule-Based Defense with Injection Isolation for Securing LLM Agents,"Hao Li,Xiaogeng Liu,Hung-Chun Chiu,Dianqi Li,Ning Zhang,Chaowei Xiao",drift dynamic rulebased defense injection isolation securing llm agent
LLM Embedding-based Attribution (LEA): Quantifying Source Contributions to Generative Model's Response for Vulnerability Analysis,"Reza Fayyazi,Michael Zuzak,Shanchieh Jay Yang",llm embeddingbased attribution lea quantifying source contribution generative model response vulnerability analysis
SocialCredit+,"Thabassum Aslam,Anees Aslam",socialcredit
"""I Hadn't Thought About That"": Creators of Human-like AI Weigh in on Ethics And Neurodivergence","Naba Rizvi,Taggert Smith,Tanvi Vidyala,Mya Bolds,Harper Strickland,Andrew Begel,Rua Williams,Imani Munyaka",hadnt thought creator humanlike weigh ethic neurodivergence
Military AI Cyber Agents (MAICAs) Constitute a Global Threat to Critical Infrastructure,"Timothy Dubber,Seth Lazar",military cyber agent maicas constitute global threat critical infrastructure
Intelligent Automation for FDI Facilitation: Optimizing Tariff Exemption Processes with OCR And Large Language Models,Muhammad Sukri Bin Ramli,intelligent automation fdi facilitation optimizing tariff exemption process ocr large language model
Efficient Parallel Training Methods for Spiking Neural Networks with Constant Time Complexity,"Wanjin Feng,Xingyu Gao,Wenqian Du,Hailong Shi,Peilin Zhao,Pengcheng Wu,Chunyan Miao",efficient parallel training method spiking neural network constant time complexity
Wanting to Be Understood Explains the Meta-Problem of Consciousness,"Chrisantha Fernando,Dylan Banarse,Simon Osindero",wanting understood explains metaproblem consciousness
The CAISAR Platform: Extending the Reach of Machine Learning Specification and Verification,"Michele Alberti(LSL),François Bobot(LSL),Julien Girard-Satabin(LSL),Alban Grastien(LSL),Aymeric Varasse,Zakaria Chihani(LSL)",caisar platform extending reach machine learning specification verification
Latency Optimization for Wireless Federated Learning in Multihop Networks,"Shaba Shaon,Van-Dinh Nguyen,Dinh C. Nguyen",latency optimization wireless federated learning multihop network
Modeling Earth-Scale Human-Like Societies with One Billion Agents,"Haoxiang Guan,Jiyan He,Liyang Fan,Zhenzhen Ren,Shaobin He,Xin Yu,Yuan Chen,Shuxin Zheng,Tie-Yan Liu,Zhen Liu",modeling earthscale humanlike society one billion agent
A Synthetic Pseudo-Autoencoder Invites Examination of Tacit Assumptions in Neural Network Design,Assaf Marron,synthetic pseudoautoencoder invite examination tacit assumption neural network design
T-TExTS (Teaching Text Expansion for Teacher Scaffolding): Enhancing Text Selection in High School Literature through Knowledge Graph-Based Recommendation,"Nirmal Gelal,Chloe Snow,Ambyr Rios,Hande Küçük McGinty",ttexts teaching text expansion teacher scaffolding enhancing text selection high school literature knowledge graphbased recommendation
Seamless Dysfluent Speech Text Alignment for Disordered Speech Analysis,"Zongli Ye,Jiachen Lian,Xuanru Zhou,Jinming Zhang,Haodong Li,Shuhe Li,Chenxu Guo,Anaisha Das,Peter Park,Zoe Ezzes,Jet Vonk,Brittany Morin,Rian Bogley,Lisa Wauters,Zachary Miller,Maria Gorno-Tempini,Gopala Anumanchipalli",seamless dysfluent speech text alignment disordered speech analysis
WebTrust: An AI-Driven Data Scoring System for Reliable Information Retrieval,"Joydeep Chandra,Aleksandr Algazinov,Satyam Kumar Navneet,Rim El Filali,Matt Laing,Andrew Hanna",webtrust aidriven data scoring system reliable information retrieval
Evaluating Logit-Based GOP Scores for Mispronunciation Detection,"Aditya Kamlesh Parikh,Cristian Tejedor-Garcia,Catia Cucchiarini,Helmer Strik",evaluating logitbased gop score mispronunciation detection
Organizational Adaptation to Generative AI in Cybersecurity: A Systematic Review,Christopher Nott,organizational adaptation generative cybersecurity systematic review
CMT-LLM: Contextual Multi-Talker ASR Utilizing Large Language Models,"Jiajun He,Naoki Sawada,Koichi Miyazaki,Tomoki Toda",cmtllm contextual multitalker asr utilizing large language model
Towards Unified Neural Decoding with Brain Functional Network Modeling,"Di Wu,Linghao Bu,Yifei Jia,Lu Cao,Siyuan Li,Siyu Chen,Yueqian Zhou,Sheng Fan,Wenjie Ren,Dengchang Wu,Kang Wang,Yue Zhang,Yuehui Ma,Jie Yang,Mohamad Sawan",towards unified neural decoding brain functional network modeling
From Proxies to Fields: Spatiotemporal Reconstruction of Global Radiation from Sparse Sensor Sequences,"Kazuma Kobayashi,Samrendra Roy,Seid Koric,Diab Abueidda,Syed Bahauddin Alam",proxy field spatiotemporal reconstruction global radiation sparse sensor sequence
Why Do Some Inputs Break Low-Bit LLM Quantization?,"Ting-Yun Chang,Muru Zhang,Jesse Thomason,Robin Jia",input break lowbit llm quantization
CRITS: Convolutional Rectifier for Interpretable Time Series Classification,"Alejandro Kuratomi,Zed Lee,Guilherme Dinis Chaliane Junior,Tony Lindgren,Diego García Pérez",crits convolutional rectifier interpretable time series classification
Meta Pruning via Graph Metanetworks : A Meta Learning Framework for Network Pruning,"Yewei Liu,Xiyuan Wang,Muhan Zhang",meta pruning via graph metanetworks meta learning framework network pruning
BTC-LLM: Efficient Sub-1-Bit LLM Quantization via Learnable Transformation and Binary Codebook,"Hao Gu,Lujun Li,Zheyu Wang,Bei Liu,Qiyuan Zhu,Sirui Han,Yike Guo",btcllm efficient subbit llm quantization via learnable transformation binary codebook
The Maximal Overlap Discrete Wavelet Scattering Transform and Its Application in Classification Tasks,"Leonardo Fonseca Larrubia,Pedro Alberto Morettin,Chang Chiann",maximal overlap discrete wavelet scattering transform application classification task
LCD: Advancing Extreme Low-Bit Clustering for Large Language Models via Knowledge Distillation,"Fangxin Liu,Ning Yang,Junping Zhao,Tao Yang,Haibing Guan,Li Jiang",lcd advancing extreme lowbit clustering large language model via knowledge distillation
How to Train a Model on a Cheap Cluster with Low Cost using Block Coordinate Descent,"Zeyu Liu,Yunquan Zhang,Boyang Zhang,Guoyong Jiang,Daning Cheng",train model cheap cluster low cost using block coordinate descent
A Minimalist Method for Fine-tuning Text-to-Image Diffusion Models,"Yanting Miao,William Loh,Suraj Kothawade,Pacal Poupart",minimalist method finetuning texttoimage diffusion model
MARché: Fast Masked Autoregressive Image Generation with Cache-Aware Attention,"Chaoyi Jiang,Sungwoo Kim,Lei Gao,Hossein Entezari Zarch,Won Woo Ro,Murali Annavaram",march fast masked autoregressive image generation cacheaware attention
Human-like Forgetting Curves in Deep Neural Networks,Dylan Kline,humanlike forgetting curve deep neural network
EMERGENT: Efficient and Manipulation-resistant Matching using GFlowNets,"Mayesha Tasnim,Erman Acar,Sennay Ghebreab",emergent efficient manipulationresistant matching using gflownets
Embedding Trust at Scale: Physics-Aware Neural Watermarking for Secure and Verifiable Data Pipelines,Krti Tallam,embedding trust scale physicsaware neural watermarking secure verifiable data pipeline
Improving Generalization in Heterogeneous Federated Continual Learning via Spatio-Temporal Gradient Matching with Prototypical Coreset,"Minh-Duong Nguyen,Le-Tuan Nguyen,Quoc-Viet Pham",improving generalization heterogeneous federated continual learning via spatiotemporal gradient matching prototypical coreset
